SampleID,ID.2,ID,BD,Strain,Light_treatment,Temp,Replicate,Perc_totEvents,Perc_Diatoms,Perc_LiveDiatoms,Bodipy_Median,Size_Median,Chlorophyll_Median,Bodipy_Sd,Size_Sd,Chlorophyll_Sd,Perc_Unhealthy
2D_004_BD_008.fcs,590DLR1bd,590DLR1,bd,590,Dark,1,1,100,34.9,84.8,4316,113216,2476,4202,56730,1952,15.2
2D_004_us_007.fcs,590DLR1us,590DLR1,us,590,Dark,1,1,100,37.2,86.2,64.2,106688,2292,145,46110,1778,13.8
2D_005_BD_010.fcs,590DLR2bd,590DLR2,bd,590,Dark,1,2,100,34.4,87.5,4299,103872,2410,3564,46857,2831,12.5
2D_005_us_009.fcs,590DLR2us,590DLR2,us,590,Dark,1,2,100,41.2,89.2,123,102400,2359,248,50007,1551,10.8
2D_006_BD_012.fcs,590DLR3bd,590DLR3,bd,590,Dark,1,3,100,32.1,86.4,3769,101504,2266,1944,43296,1330,13.6
2D_006_us_011.fcs,590DLR3us,590DLR3,us,590,Dark,1,3,100,42,78.8,92.5,99584,2350,291,42369,1333,21.2
2l_001_BD_002.fcs,590CLR1bd,590CLR1,bd,590,Light,1,1,100,86.2,94.1,34497,150592,31414,11203,41615,10023,5.9
2l_001_us_001.fcs,590CLR1us,590CLR1,us,590,Light,1,1,100,83.5,95,52.6,149824,29027,30.9,43017,10265,4.98
2l_002_BD_004.fcs,590CLR2bd,590CLR2,bd,590,Light,1,2,100,85,93.7,34580,150720,30817,11209,42696,10487,6.25
2l_002_us_003.fcs,590CLR2us,590CLR2,ud,590,Light,1,2,100,84.5,94.2,144,148096,30743,124,41504,10611,5.85
2l_003_BD_006.fcs,590CLR3bd,590CLR3,bd,590,Light,1,3,100,82.7,95.1,34998,153344,31640,10952,43604,10779,4.87
2l_003_us_005.fcs,590CLR3us,590CLR3,us,590,Light,1,3,100,79.2,94.2,169,151488,31338,677,42276,10210,5.75
5D_010_BD_020.fcs,590DHR1bd,590DHR1,bd,590,Dark,4,1,100,39.8,84.8,4133,97216,1920,2688,46484,946,15.2
5D_010_us_019.fcs,590DHR1us,590DHR1,us,590,Dark,4,1,100,40.8,81.6,25.7,94848,1794,169,39505,771,18.4
5D_011_BD_022.fcs,590DHR2bd,590DHR2,bd,590,Dark,4,2,100,39.6,80,3746,99136,1917,2035,43631,850,20
5D_011_us_021.fcs,590DHR2us,590DHR2,us,590,Dark,4,2,100,33.3,80.4,66.8,94656,1764,54.8,46694,914,19.6
5D_012_BD_024.fcs,590DHR3bd,590DHR3,bd,590,Dark,4,3,100,42.2,83,3731,102784,1655,2874,44921,756,17
5D_012_us_023.fcs,590DHR3us,590DHR3,us,590,Dark,4,3,100,43.4,80.4,38.5,98048,1532,30.4,40743,1034,19.6
5L_007_BD_014.fcs,590CHR1bd,590CHR1,bd,590,Light,4,1,100,74,83,28342,166656,24276,15085,46739,13475,17
5L_007_us_013.fcs,590CHR1us,590CHR1,us,590,Light,4,1,100,73.9,81.5,86.1,171264,23706,61.3,44998,13226,18.5
5L_008_BD_016.fcs,590CHR2bd,590CHR2,bd,590,Light,4,2,100,70.3,83.9,32643,164032,25763,15574,44979,13263,16.1
5L_008_us_015.fcs,590CHR2us,590CHR2,ud,590,Light,4,2,100,74.4,87.2,113,167616,26384,751,46477,13891,12.8
5L_009_BD_018.fcs,590CHR3bd,590CHR3,bd,590,Light,4,3,100,72.2,84.9,30891,161472,27541,14565,44647,13399,15.1
5L_009_us_017.fcs,590CHR3us,590CHR3,us,590,Light,4,3,100,75.6,87.2,109,166656,27739,84.4,45659,13656,12.8
2D_004_BD_008.fcs,595DLR1bd,595DLR1,bd,595,Dark,1,1,100,44,71.7,5180,129728,3894,2423,48345,1976,28.3
2D_004_us_007.fcs,595DLR1us,595DLR1,us,595,Dark,1,1,100,48.1,74.8,52.6,130560,3525,67.2,52487,2099,25.2
2D_005_BD_010.fcs,595DLR2bd,595DLR2,bd,590,Dark,1,2,100,44,77.1,5082,135936,3934,2729,51250,2099,22.9
2D_005_us_009.fcs,595DLR2us,595DLR2,us,595,Dark,1,2,100,42.6,72.6,87.4,131072,3894,79.7,49295,1991,27.4
2D_006_BD_012.fcs,595DLR3bd,595DLR3,bd,595,Dark,1,3,100,46.4,67.4,6186,143488,4416,9875,51883,2385,32.6
2D_006_us_011.fcs,595DLR3us,595DLR3,us,595,Dark,1,3,100,41.4,67.7,87.4,139072,4108,296,49315,2227,32.3
2l_001_BD_002.fcs,595CLR1bd,595CLR1,bd,595,Light,1,1,100,56.7,90.4,43800,160256,28751,25205,51054,14183,9.57
2l_001_us_001.fcs,595CLR1us,595CLR1,us,595,Light,1,1,100,41.7,84.7,96.4,187648,36197,52.5,57360,17248,15.3
2l_002_BD_004.fcs,595CLR2bd,595CLR2,bd,595,Light,1,2,100,42.4,86.4,47214,174976,32022,29373,55789,16464,13.6
2l_002_us_003.fcs,595CLR2us,595CLR2,ud,595,Light,1,2,100,56.2,89.5,535,157184,29306,779,52488,13921,10.5
2l_003_BD_006.fcs,595CLR3bd,595CLR3,bd,595,Light,1,3,100,45.7,82.3,47099,178176,33037,31243,54693,15313,17.7
2l_003_us_005.fcs,595CLR3us,595CLR3,us,595,Light,1,3,100,41.4,80.4,341,180672,33921,581,57253,14823,19.6
5D_010_BD_020.fcs,595DHR1bd,595DHR1,bd,595,Dark,4,1,100,19.8,77.2,4041,107200,4761,9803,40929,2568,22.8
5D_010_us_019.fcs,595DHR1us,595DHR1,us,595,Dark,4,1,100,18.9,75.3,238,103680,4623,1379,39074,2625,24.7
5D_011_BD_022.fcs,595DHR2bd,595DHR2,bd,595,Dark,4,2,100,20,79.7,3785,110208,3886,6081,36952,1826,20.3
5D_011_us_021.fcs,595DHR2us,595DHR2,us,595,Dark,4,2,100,19.8,77.8,44.9,105856,3792,76.7,39744,1643,22.2
5D_012_BD_024.fcs,595DHR3bd,595DHR3,bd,595,Dark,4,3,100,28.8,61.9,5202,141888,3777,2258,53178,1774,38.1
5D_012_us_023.fcs,595DHR3us,595DHR3,us,595,Dark,4,3,100,30.4,60.4,51.4,133632,3406,178,53356,1907,39.6
5L_007_BD_014.fcs,595CHR1bd,595CHR1,bd,595,Light,4,1,100,47.7,48.8,35937,195648,16535,23547,53183,13843,51.2
5L_007_us_013.fcs,595CHR1us,595CHR1,us,595,Light,4,1,100,64.9,68.5,263,172608,21260,140,51541,13396,31.5
5L_008_BD_016.fcs,595CHR2bd,595CHR2,bd,595,Light,4,2,100,50.3,65.7,37801,186048,22448,24027,55150,15433,34.3
5L_008_us_015.fcs,595CHR2us,595CHR2,ud,595,Light,4,2,100,26.3,71.8,229,180800,21768,515,53874,13489,28.2
5L_009_BD_018.fcs,595CHR3bd,595CHR3,bd,595,Light,4,3,100,35.3,58.9,41132,213056,22662,23277,51924,14796,41.1
5L_009_us_017.fcs,595CHR3us,595CHR3,us,595,Light,4,3,100,48.8,64.3,134,193344,22662,163,54567,14973,35.7
2D_004_BD_008.fcs,633DLR1bd,633DLR1,bd,633,Dark,1,1,100,54.7,92.6,4082,85184,2152,2938,48372,1383,7.42
2D_004_us_007.fcs,633DLR1us,633DLR1,us,633,Dark,1,1,100,51.2,90.6,66.8,82624,1842,50.5,49175,1496,9.4
2D_005_BD_010.fcs,633DLR2bd,633DLR2,bd,633,Dark,1,2,100,42.9,91.3,3462,81024,2080,1974,46160,1295,8.72
2D_005_us_009.fcs,633DLR2us,633DLR2,us,633,Dark,1,2,100,47.3,90.8,33.4,75392,1884,30.4,41417,1229,9.21
2D_006_BD_012.fcs,633DLR3bd,633DLR3,bd,633,Dark,1,3,100,51.9,92.3,3427,81920,1987,2754,48214,1350,7.75
2D_006_us_011.fcs,633DLR3us,633DLR3,us,633,Dark,1,3,100,53.3,91.1,99,84800,1881,189,45916,1271,8.92
2l_001_BD_002.fcs,633CLR1bd,633CLR1,bd,633,Light,1,1,100,75.5,88.4,23096,111424,20137,11928,31910,9856,11.6
2l_001_us_001.fcs,633CLR1us,633CLR1,us,633,Light,1,1,100,77.1,87.4,70.6,109888,19854,878,33533,9686,12.6
2l_002_BD_004.fcs,633CLR2bd,633CLR2,bd,633,Light,1,2,100,73.2,87.8,20520,115072,21160,11652,32816,11216,12.2
2l_002_us_003.fcs,633CLR2us,633CLR2,ud,633,Light,1,2,100,77,86.7,112,116608,21160,83.7,34462,12818,13.3
2l_003_BD_006.fcs,633CLR3bd,633CLR3,bd,633,Light,1,3,100,75.7,86.9,20666,112960,21310,12904,32571,11523,13.1
2l_003_us_005.fcs,633CLR3us,633CLR3,us,633,Light,1,3,100,73.9,86.5,109,115648,20764,182,32311,10513,13.5
5D_010_BD_020.fcs,633DHR1bd,633DHR1,bd,633,Dark,4,1,100,49.4,91.2,4057,100096,1526,2390,51680,1168,8.77
5D_010_us_019.fcs,633DHR1us,633DHR1,us,633,Dark,4,1,100,41.6,92,74.5,95872,1376,53.5,50288,989,8.03
5D_011_BD_022.fcs,633DHR2bd,633DHR2,bd,633,Dark,4,2,100,49.2,91.3,4082,101824,1606,2307,51394,1067,8.7
5D_011_us_021.fcs,633DHR2us,633DHR2,us,633,Dark,4,2,100,51.2,92.8,74.5,102016,1498,47.7,49902,1044,7.17
5D_012_BD_024.fcs,633DHR3bd,633DHR3,bd,633,Dark,4,3,100,43.4,92.4,3708,99648,1555,1926,46851,1000,7.55
5D_012_us_023.fcs,633DHR3us,633DHR3,us,633,Dark,4,3,100,50.4,92.7,73.2,98176,1470,44.1,47876,1003,7.27
5L_007_BD_014.fcs,633CHR1bd,633CHR1,bd,633,Light,4,1,100,72.7,74.1,17862,117376,19668,12487,38438,14340,25.9
5L_007_us_013.fcs,633CHR1us,633CHR1,us,633,Light,4,1,100,72.7,75.8,83.5,120064,19995,82.4,39091,13354,24.2
5L_008_BD_016.fcs,633CHR2bd,633CHR2,bd,633,Light,4,2,100,73.9,74,17408,115712,18545,12421,39038,13571,26
5L_008_us_015.fcs,633CHR2us,633CHR2,ud,633,Light,4,2,100,74.9,76.1,118,116864,18941,106,37129,12672,23.9
5L_009_BD_018.fcs,633CHR3bd,633CHR3,bd,633,Light,4,3,100,75.4,73.3,17085,116864,18986,11898,39126,13261,26.7
5L_009_us_017.fcs,633CHR3us,633CHR3,us,633,Light,4,3,100,77.4,75.3,112,120000,18676,370,41387,13518,24.7
2D_004_BD_008.fcs,654DLR1bd,654DLR1,bd,654,Dark,1,1,100,48.9,92.2,2350,79104,1521,1301,39487,940,7.8
2D_004_us_007.fcs,654DLR1us,654DLR1,us,654,Dark,1,1,100,50.5,91.5,93.8,78528,1379,450,36817,874,8.48
2D_005_BD_010.fcs,654DLR2bd,654DLR2,bd,654,Dark,1,2,100,44.8,90.5,2629,76416,1652,1992,41301,1912,9.51
2D_005_us_009.fcs,654DLR2us,654DLR2,us,654,Dark,1,2,100,48.8,91.4,84.8,75584,1451,53.7,38774,1238,8.62
2D_006_BD_012.fcs,654DLR3bd,654DLR3,bd,654,Dark,1,3,100,47.4,91.4,1758,74432,1597,903,36013,1096,8.63
2D_006_us_011.fcs,654DLR3us,654DLR3,us,654,Dark,1,3,100,44.7,90.9,71.9,74432,1407,57.3,39290,1199,9.08
2l_001_BD_002.fcs,654CLR1bd,654CLR1,bd,654,Light,1,1,100,75.4,96.3,26700,133824,26259,13681,38616,14826,3.69
2l_001_us_001.fcs,654CLR1us,654CLR1,us,654,Light,1,1,100,80.5,94.6,57.8,135616,26892,32.1,37326,14203,5.36
2l_002_BD_004.fcs,654CLR2bd,654CLR2,bd,654,Light,1,2,100,75.3,96.4,25337,135616,25217,12885,38618,13163,3.58
2l_002_us_003.fcs,654CLR2us,654CLR2,ud,654,Light,1,2,100,74.5,96,84.8,136320,25519,47.1,37056,13275,4.03
2l_003_BD_006.fcs,654CLR3bd,654CLR3,bd,654,Light,1,3,100,80.7,96.7,27150,137856,26764,13601,37132,15254,3.29
2l_003_us_005.fcs,654CLR3us,654CLR3,us,654,Light,1,3,100,81.7,96.9,153,135104,26956,75.4,38932,15894,3.1
5D_010_BD_020.fcs,654DHR1bd,654DHR1,bd,654,Dark,4,1,100,39.1,90.4,1832,79616,1639,1050,37123,788,9.57
5D_010_us_019.fcs,654DHR1us,654DHR1,us,654,Dark,4,1,100,42.3,89.1,89.9,79552,1532,1161,39570,1873,10.9
5D_011_BD_022.fcs,654DHR2bd,654DHR2,bd,654,Dark,4,2,100,39,91,2544,77440,1725,2498,37803,955,8.98
5D_011_us_021.fcs,654DHR2us,654DHR2,us,654,Dark,4,2,100,40.6,89.4,78.4,75904,1567,43.6,37708,887,10.6
5D_012_BD_024.fcs,654DHR3bd,654DHR3,bd,654,Dark,4,3,100,26.5,90,1751,75328,1728,757,34652,766,10
5D_012_us_023.fcs,654DHR3us,654DHR3,us,654,Dark,4,3,100,41,89.5,41.1,77120,1538,33.1,38048,1063,10.5
5L_007_BD_014.fcs,654CHR1bd,654CHR1,bd,654,Light,4,1,100,67.8,88.2,22342,144704,17904,13652,39877,13400,11.8
5L_007_us_013.fcs,654CHR1us,654CHR1,us,654,Light,4,1,100,68.9,85.4,61.6,153664,18073,39.6,40310,13861,14.6
5L_008_BD_016.fcs,654CHR2bd,654CHR2,bd,654,Light,4,2,100,65.1,82.3,23706,142016,17490,15762,40632,13448,17.7
5L_008_us_015.fcs,654CHR2us,654CHR2,ud,654,Light,4,2,100,63.9,82.8,107,146432,17531,60.5,41986,13948,17.2
5L_009_BD_018.fcs,654CHR3bd,654CHR3,bd,654,Light,4,3,100,67.1,86.4,20184,141504,16230,15150,39418,13057,13.6
5L_009_us_017.fcs,654CHR3us,654CHR3,us,654,Light,4,3,100,69.2,85.4,123,145024,17085,81.1,38971,13826,14.6
2D_004_BD_008.fcs,716DLR1bd,716DLR1,bd,716,Dark,1,1,100,63.5,91.9,796,38592,1072,891,18402,1060,8.12
2D_004_us_007.fcs,716DLR1us,716DLR1,us,716,Dark,1,1,100,63.3,83.8,24.4,40192,1026,25.9,19681,972,16.2
2D_005_BD_010.fcs,716DLR2bd,716DLR2,bd,716,Dark,1,2,100,58.6,88.6,791,39744,1086,657,17086,1280,11.4
2D_005_us_009.fcs,716DLR2us,716DLR2,us,716,Dark,1,2,100,56.4,84.5,14.1,40000,1030,30.7,23613,924,15.5
2D_006_BD_012.fcs,716DLR3bd,716DLR3,bd,716,Dark,1,3,100,64,92,1046,45184,1067,7556,23293,2438,8.02
2D_006_us_011.fcs,716DLR3us,716DLR3,us,716,Dark,1,3,100,65.1,90.5,129,45056,945,88.1,24202,826,9.5
2l_001_BD_002.fcs,716CLR1bd,716CLR1,bd,716,Light,1,1,100,74.8,55,9795,72448,4944,6545,22081,4909,45
2l_001_us_001.fcs,716CLR1us,716CLR1,us,716,Light,1,1,100,74.2,53.5,28.2,72832,5180,24.7,23142,4508,46.5
2l_002_BD_004.fcs,716CLR2bd,716CLR2,bd,716,Light,1,2,100,76.1,41.1,9817,70464,4566,6602,21632,4364,58.9
2l_002_us_003.fcs,716CLR2us,716CLR2,ud,716,Light,1,2,100,74.7,39.6,64.2,71552,4623,408,23970,4984,60.4
2l_003_BD_006.fcs,716CLR3bd,716CLR3,bd,716,Light,1,3,100,74.7,39,9664,69888,4955,7042,24028,4644,61
2l_003_us_005.fcs,716CLR3us,716CLR3,us,716,Light,1,3,100,74.5,39.6,61.6,72448,5257,150,24165,5640,60.4
5D_010_BD_020.fcs,716DHR1bd,716DHR1,bd,716,Dark,4,1,100,66.1,95.6,998,46080,1022,2610,23463,1027,4.44
5D_010_us_019.fcs,716DHR1us,716DHR1,us,716,Dark,4,1,100,67.2,90.8,38.5,49024,862,34.3,26051,977,9.22
5D_011_BD_022.fcs,716DHR2bd,716DHR2,bd,716,Dark,4,2,100,59.4,92.9,866,41856,817,1349,22884,1181,7.05
5D_011_us_021.fcs,716DHR2us,716DHR2,us,716,Dark,4,2,100,63.7,89.1,21.8,43392,674,25.4,22100,465,10.9
5D_012_BD_024.fcs,716DHR3bd,716DHR3,bd,716,Dark,4,3,100,64.3,96.6,1010,47104,923,1036,22556,580,3.45
5D_012_us_023.fcs,716DHR3us,716DHR3,us,716,Dark,4,3,100,62.1,88.5,24.4,50880,767,27,28499,540,11.5
5L_007_BD_014.fcs,716CHR1bd,716CHR1,bd,716,Light,4,1,100,70.9,34.9,9177,73024,4281,5131,29348,4349,65.1
5L_007_us_013.fcs,716CHR1us,716CHR1,us,716,Light,4,1,100,71.7,33.2,143,75392,4380,194,26822,4115,66.8
5L_008_BD_016.fcs,716CHR2bd,716CHR2,bd,716,Light,4,2,100,81.4,34.2,7562,64896,5664,5134,22286,3517,65.8
5L_008_us_015.fcs,716CHR2us,716CHR2,ud,716,Light,4,2,100,84.7,31.8,111,67008,5762,84.9,23636,3774,68.2
5L_009_BD_018.fcs,716CHR3bd,716CHR3,bd,716,Light,4,3,100,79.3,31.8,7992,63232,5580,5039,21783,3607,68.2
5L_009_us_017.fcs,716CHR3us,716CHR3,us,716,Light,4,3,100,85.7,56.5,74.5,73280,6054,178,27993,3891,43.5